app,frac,n_cal,days,cov,cov_on,width_W
kettle,0.05,3897,2.17,0.907,0.978,244.8
kettle,0.1,7795,4.33,0.912,0.978,245.0
kettle,0.25,19487,10.83,0.907,0.978,244.8
kettle,0.5,38975,21.65,0.907,0.978,244.8
kettle,1.0,77950,43.31,0.907,0.978,244.8
microwave,0.05,3897,2.17,0.921,0.815,75.3
microwave,0.1,7795,4.33,0.912,0.815,75.1
microwave,0.25,19487,10.83,0.904,0.815,75.1
microwave,0.5,38975,21.65,0.904,0.815,75.1
microwave,1.0,77950,43.31,0.904,0.815,75.1
fridge,0.05,3897,2.17,0.928,0.963,103.9
fridge,0.1,7795,4.33,0.911,0.961,103.5
fridge,0.25,19487,10.83,0.914,0.962,103.6
fridge,0.5,38975,21.65,0.924,0.962,103.8
fridge,1.0,77950,43.31,0.927,0.963,103.8
dishwasher,0.05,3897,2.17,0.978,0.873,49.5
dishwasher,0.1,7795,4.33,0.978,0.873,49.5
dishwasher,0.25,19487,10.83,0.978,0.873,49.5
dishwasher,0.5,38975,21.65,0.978,0.873,49.5
dishwasher,1.0,77950,43.31,0.978,0.873,49.5
washing_machine,0.05,3897,2.17,0.895,0.805,103.8
washing_machine,0.1,7795,4.33,0.91,0.805,103.8
washing_machine,0.25,19487,10.83,0.9,0.805,103.8
washing_machine,0.5,38975,21.65,0.894,0.805,103.8
washing_machine,1.0,77950,43.31,0.894,0.805,103.8
