arch,app,MAE,MAE_std,MAE_on,SAE,F1,raw_cov,raw_cov_on,CQR_cov_t,CQR_cov_t_on,CQR_w_t,CQR_cov_s,CQR_cov_s_on,CQR_w_s,M_cov,M_cov_on,M_w,rho_ens,rho_mc,rho_qw,t_ens_s,t_mc_s,MAE_rej0,MAE_rej5,MAE_rej10,MAE_rej20,MAE_rej30
cnn,kettle,24.8,2.6,225.9,1.643,0.749,0.927,0.978,0.907,0.978,244.8,0.907,0.978,244.8,0.909,0.989,279.1,0.399,0.498,0.279,91.0,953.6,24.8,1.7,0.5,0.4,0.4
cnn,microwave,16.0,3.3,529.3,1.038,0.277,0.994,0.817,0.904,0.815,75.1,0.995,0.817,77.8,0.907,0.823,75.5,0.405,0.284,0.357,88.9,949.4,16.0,2.2,2.0,2.0,2.0
cnn,fridge,36.2,1.6,54.4,0.203,0.434,0.804,0.958,0.927,0.963,103.8,0.766,0.958,102.6,0.924,0.963,107.6,0.392,0.39,0.408,89.9,954.3,36.2,36.7,36.7,35.2,33.3
cnn,dishwasher,10.0,0.6,197.0,0.445,0.49,0.995,0.896,0.978,0.873,49.5,0.978,0.873,49.5,0.98,0.896,49.8,0.441,0.348,0.405,89.4,944.5,10.0,0.7,0.4,0.4,0.4
cnn,washing_machine,11.8,5.2,220.8,0.472,0.445,0.974,0.81,0.894,0.805,103.8,0.944,0.806,104.0,0.912,0.846,106.8,0.8,0.633,0.593,89.3,954.8,11.8,2.2,1.0,0.4,0.3
bilstm,kettle,24.6,1.5,107.4,1.374,0.716,0.994,0.987,0.862,0.987,222.1,0.845,0.987,222.0,0.862,0.995,259.1,0.842,0.083,-0.34,112.9,1113.8,24.6,4.8,3.8,3.5,3.2
bilstm,microwave,13.4,2.0,313.8,0.949,0.346,0.996,0.806,0.898,0.8,75.4,0.991,0.805,80.3,0.898,0.798,75.4,0.523,0.051,0.357,112.8,1113.8,13.4,2.7,2.2,2.2,2.2
bilstm,fridge,36.6,0.0,85.1,0.968,0.0,0.423,0.973,0.917,0.974,91.9,0.788,0.974,91.7,0.917,0.974,91.9,0.07,0.405,0.672,112.9,1112.8,36.6,37.3,38.5,40.2,41.4
bilstm,dishwasher,11.1,1.6,100.0,0.603,0.435,0.996,0.966,0.905,0.965,53.6,0.828,0.965,53.6,0.908,0.965,53.6,0.688,0.019,0.823,112.6,1112.1,11.1,2.2,1.6,1.5,1.4
bilstm,washing_machine,13.0,5.0,231.8,0.634,0.42,0.987,0.868,0.901,0.868,180.2,0.838,0.868,180.1,0.901,0.868,180.3,0.663,0.565,0.487,112.9,1112.5,13.0,2.8,1.3,0.8,0.7
