house,app,col,MAE,F1,raw_on,CQR_cov,CQR_on,M_on,M_w
5,kettle,Appliance8,46.5,0.747,0.393,0.934,0.392,0.877,654.3
5,microwave,Appliance7,44.0,0.328,0.572,0.894,0.573,0.574,272.1
5,fridge,Appliance1,56.0,0.09,0.393,0.917,0.834,0.835,133.6
5,dishwasher,Appliance4,55.2,0.465,0.765,0.904,0.763,0.764,318.8
5,washing_machine,Appliance3,56.3,0.34,0.685,0.9,0.69,0.705,439.7
6,kettle,Appliance7,31.1,0.782,0.939,0.905,0.939,0.971,445.5
6,microwave,Appliance6,13.4,0.371,0.742,0.902,0.741,0.76,67.0
6,fridge,Appliance1,22.6,0.128,0.997,0.905,0.997,0.997,105.3
6,dishwasher,Appliance3,7.4,0.611,0.931,0.978,0.927,0.929,39.9
6,washing_machine,Appliance2,10.3,0.254,0.869,0.907,0.865,0.908,107.1
13,kettle,Appliance9,62.6,0.452,0.69,0.921,0.689,0.761,432.9
13,microwave,Appliance8,15.1,0.19,0.71,0.917,0.71,0.724,127.9
13,fridge,Appliance6,63.3,0.187,0.246,0.847,0.654,0.671,196.9
13,dishwasher,Appliance5,90.2,0.222,0.147,0.977,0.913,0.875,412.4
13,washing_machine,Appliance1,33.6,0.054,0.186,0.893,0.189,0.191,193.8
