app,factor,thr_W,n_on,on_frac,F1,CQR_on,SC_on,SC_on_fixedmask,SC_marg,SC_width_W
kettle,0.5,1000.0,3288,0.0047,0.54,0.956,0.99,0.993,0.91,284.6
kettle,0.75,1500.0,3203,0.0046,0.668,0.976,0.993,0.992,0.91,283.3
kettle,1.0,2000.0,3195,0.0046,0.749,0.978,0.989,0.989,0.909,279.1
kettle,1.25,2500.0,3183,0.0045,0.799,0.981,0.983,0.982,0.908,272.7
kettle,1.5,3000.0,2,0.0,0.0,,,0.978,0.907,244.8
microwave,0.5,100.0,2902,0.0041,0.237,0.815,0.818,0.819,0.906,75.4
microwave,0.75,150.0,2892,0.0041,0.257,0.816,0.822,0.822,0.906,75.5
microwave,1.0,200.0,2883,0.0041,0.277,0.815,0.823,0.823,0.907,75.5
microwave,1.25,250.0,2844,0.0041,0.294,0.813,0.823,0.826,0.907,75.6
microwave,1.5,300.0,2839,0.004,0.314,0.813,0.824,0.826,0.907,75.6
fridge,0.5,25.0,297017,0.4234,0.486,0.963,0.964,0.963,0.925,107.1
fridge,0.75,37.5,296061,0.422,0.46,0.963,0.963,0.963,0.925,107.4
fridge,1.0,50.0,294576,0.4199,0.434,0.963,0.963,0.963,0.924,107.6
fridge,1.25,62.5,294290,0.4195,0.404,0.963,0.962,0.962,0.924,108.0
fridge,1.5,75.0,294177,0.4193,0.367,0.963,0.962,0.962,0.924,108.1
dishwasher,0.5,5.0,10161,0.0145,0.442,0.876,0.886,0.883,0.98,49.7
dishwasher,0.75,7.5,10098,0.0144,0.482,0.876,0.892,0.889,0.98,49.8
dishwasher,1.0,10.0,9492,0.0135,0.49,0.873,0.896,0.896,0.98,49.8
dishwasher,1.25,12.5,9397,0.0134,0.509,0.874,0.901,0.901,0.981,49.9
dishwasher,1.5,15.0,9314,0.0133,0.523,0.874,0.905,0.905,0.981,49.9
washing_machine,0.5,10.0,16643,0.0237,0.385,0.801,0.85,0.841,0.916,106.5
washing_machine,0.75,15.0,16283,0.0232,0.429,0.804,0.852,0.845,0.914,106.8
washing_machine,1.0,20.0,15208,0.0217,0.445,0.805,0.846,0.846,0.912,106.8
washing_machine,1.25,25.0,14975,0.0213,0.464,0.805,0.845,0.846,0.911,106.9
washing_machine,1.5,30.0,14787,0.0211,0.475,0.805,0.841,0.844,0.909,107.0
